//**************************************************************************************************************
//File Type: Amalfi PA Test Measurment Data Log File
//Log File Format Version: 1
//Test Type:Auto Script
//Serial Number: xAM8901_B0C_T_U_CB_SN002
//Part Number (Chip ID): AM8901 B0C
//Chip Model: Chiarlo 8901 EDGE PAM
//DUT Test GUI Version Number: Rev. A1.00.287
//FPGA Version Number: 21
//PICC Version Number: 13
//Station Number: 2
//Test Date & Time: 02-03-2010 13:50:43
//Temperature Soak Time (in secs): Test @ Ambient
//Script File Name: l:\Lab & Testing\XS\PAM\AM8901 Spec Test\GSM\AM8901_B0C_Reg27_X3_Quadband_Nominal_LB.script
//ATR Correlation Log File Not Found.
//Comment:
//**************************************************************************************************************																																																	
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Efficiency(%)	PAE(%)	Adj Pwr Out(dBm)	Pwr Out(dBm)	Vbat_I(Amp)	Vbat_V(Volt)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment
156	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.12	0	0	-8.45	898	3.5	3	0	0	1	0	0	0	1	0	36	1.310091	14.253639	11.252313	14.253639	0.235523	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:36:15	No comments(this is a filler only).
156	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.12	0	0	-8.45	898	3.5	3	0	0	1	0	0	0	1	0	37	1.412914	15.490479	8.137436	15.490479	0.181159	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:36:15	No comments(this is a filler only).
156	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.12	0	0	-8.45	898	3.5	3	0	0	1	0	0	0	1	0	38	1.511332	16.287289	6.331011	16.287289	0.14963	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:36:15	No comments(this is a filler only).
156	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.12	0	0	-8.45	898	3.5	3	0	0	1	0	0	0	1	0	39	1.615812	17.005834	3.394641	17.005834	0.098381	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:36:15	No comments(this is a filler only).
156	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.12	0	0	-8.45	898	3.5	3	0	0	1	0	0	0	1	0	40	1.719854	17.34899	0	17.34899	0.039133	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:36:15	No comments(this is a filler only).
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Efficiency(%)	PAE(%)	Adj Pwr Out(dBm)	Pwr Out(dBm)	Vbat_I(Amp)	Vbat_V(Volt)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment
157	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-34	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	54.973184	54.967839	34.681744	0.601744	1.53026	3.49348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.740v_ramp.txt	2/3/2010	14:36:27	No comments(this is a filler only).
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Step	VAM(volt)	AM-AM	AM-PM(degree)	I(averaged)	Q(averaged)	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	1	0.233617	0.009091	-24.653128	0.009091	2.927798	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:06	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	2	0.234885	0.009083	-25.545719	0.009083	2.91222	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:06	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	3	0.23688	0.009294	-27.084246	0.009294	2.885367	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:06	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	4	0.237893	0.009347	-27.291297	0.009347	2.881754	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:06	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	5	0.238969	0.009434	-28.545628	0.009434	2.859861	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:06	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	6	0.240406	0.009606	-29.079318	0.009606	2.850547	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:07	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	7	0.241564	0.009673	-30.676247	0.009673	2.822675	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:07	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	8	0.243128	0.010109	-31.888825	0.010109	2.801512	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:07	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	9	0.244591	0.010347	-33.341869	0.010347	2.776151	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:07	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	10	0.246553	0.010559	-36.032489	0.010559	2.729191	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:07	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	11	0.248276	0.011041	-39.30926	0.011041	2.672001	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:07	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	12	0.250297	0.011781	-43.258089	0.011781	2.603081	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:07	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	13	0.251841	0.012287	-47.749646	0.012287	2.524688	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:07	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	14	0.257536	0.015432	-70.095974	0.015432	2.134671	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:07	No comments(this is a filler only).
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	15	0.263869	0.02562	-81.828539	0.02562	1.929899	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:08	No comments(this is a filler only).
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	16	0.274146	0.116636	-27.960485	0.116636	2.870074	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:08	No comments(this is a filler only).
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	17	0.2849	0.239568	-18.14224	0.239568	3.041435	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:08	No comments(this is a filler only).
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	18	0.296917	0.366315	-15.208426	0.366315	3.09264	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:08	No comments(this is a filler only).
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	19	0.311212	0.514019	-14.190297	0.514019	3.110409	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:08	No comments(this is a filler only).
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	20	0.328403	0.685727	-13.865884	0.685727	3.116071	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:08	No comments(this is a filler only).
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	21	0.346219	0.856528	-13.448018	0.856528	3.123364	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:08	No comments(this is a filler only).
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	22	0.367732	1.064539	-11.793584	1.064539	3.15224	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:08	No comments(this is a filler only).
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	23	0.392418	1.347072	-7.135996	1.347072	3.23353	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:08	No comments(this is a filler only).
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	24	0.424059	1.748232	-0.600275	1.748232	3.3476	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:09	No comments(this is a filler only).
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	25	0.462546	2.247048	5.43956	2.247048	3.453015	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:09	No comments(this is a filler only).
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	26	0.498776	2.719719	9.406004	2.719719	3.522242	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:09	No comments(this is a filler only).
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	27	0.544111	3.31319	12.941077	3.31319	3.583941	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:09	No comments(this is a filler only).
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	28	0.593692	3.978877	15.611672	3.978877	3.630552	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:09	No comments(this is a filler only).
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	29	0.658581	4.874346	18.128639	4.874346	3.674481	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:09	No comments(this is a filler only).
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	30	0.723903	5.799145	19.405109	5.799145	3.69676	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:09	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	31	0.805717	6.986004	20.136765	6.986004	3.709529	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:09	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	32	0.911887	8.561629	20.058149	8.561629	3.708157	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:09	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	33	1.014114	10.088425	19.459959	10.088425	3.697717	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:10	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	34	1.114765	11.56552	17.663503	11.56552	3.666363	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:10	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	35	1.211421	12.878822	14.949161	12.878822	3.618989	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:10	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	36	1.310091	14.321098	10.536635	14.321098	3.541976	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:10	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	37	1.412925	15.413771	7.702869	15.413771	3.492517	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:10	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	38	1.511336	16.118222	5.890027	16.118222	3.460877	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:10	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	39	1.615807	16.889141	0.7516	16.889141	3.371195	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:10	No comments(this is a filler only).											
158	AM-AM AM-PM Distortion	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L3B	LBIn	-31.17	0	0	-8.44	915	3.5	3	0	0	1	0	0	0	1	0	40	1.719869	16.936627	0	16.936627	3.358077	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chairlo_staircase_V1_20oct09\LBpwrsel00\staircase-1024us_ramp.txt	2/3/2010	14:37:10	No comments(this is a filler only).											
