//**************************************************************************************************************
//File Type: Amalfi PA Test Measurment Data Log File
//Log File Format Version: 1
//Test Type:Auto Script
//Serial Number: xAM8901_B0C_T_U_CB_SN002
//Part Number (Chip ID): AM8901 B0C
//Chip Model: Chiarlo 8901 EDGE PAM
//DUT Test GUI Version Number: Rev. A1.00.287
//FPGA Version Number: 21
//PICC Version Number: 13
//Station Number: 2
//Test Date & Time: 02-03-2010 13:50:43
//Temperature Soak Time (in secs): Test @ Ambient
//Script File Name: l:\Lab & Testing\XS\PAM\AM8901 Spec Test\GSM\AM8901_B0C_Reg27_X3_Quadband_Nominal_LB.script
//ATR Correlation Log File Not Found.
//Comment:
//**************************************************************************************************************																																																	
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Efficiency(%)	PAE(%)	Adj Pwr Out(dBm)	Pwr Out(dBm)	Vbat_I(Amp)	Vbat_V(Volt)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment
6	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-33.91	0	0	-8.33	824	3.5	3	0	0	1	0	0	0	1	0	57.459902	57.454746	35.140526	1.150526	1.62732	3.49313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.700v_ramp.txt	2/3/2010	13:53:49	No comments(this is a filler only).
6	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-33.87	0	0	-8.35	837	3.5	3	0	0	1	0	0	0	1	0	56.917861	56.912733	35.10296	1.15296	1.62864	3.493191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.700v_ramp.txt	2/3/2010	13:53:51	No comments(this is a filler only).
6	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-33.94	0	0	-8.37	849	3.5	3	0	0	1	0	0	0	1	0	57.731594	57.726482	35.157744	1.137744	1.62606	3.493206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.700v_ramp.txt	2/3/2010	13:53:53	No comments(this is a filler only).
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Efficiency(%)	PAE(%)	Adj Pwr Out(dBm)	Pwr Out(dBm)	Vbat_I(Amp)	Vbat_V(Volt)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment
7	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-33.91	0	0	-8.33	824	3.5	3	0	0	1	0	0	0	1	0	57.494599	57.489313	35.035	1.045	1.5872	3.493344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.680v_ramp.txt	2/3/2010	13:54:05	No comments(this is a filler only).
7	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-33.87	0	0	-8.35	837	3.5	3	0	0	1	0	0	0	1	0	57.028168	57.022914	35.005977	1.055977	1.58953	3.49333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.680v_ramp.txt	2/3/2010	13:54:07	No comments(this is a filler only).
7	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-33.94	0	0	-8.37	849	3.5	3	0	0	1	0	0	0	1	0	57.826786	57.821545	35.057717	1.037717	1.58643	3.493186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.680v_ramp.txt	2/3/2010	13:54:09	No comments(this is a filler only).
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Efficiency(%)	PAE(%)	Adj Pwr Out(dBm)	Pwr Out(dBm)	Vbat_I(Amp)	Vbat_V(Volt)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment
8	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-33.91	0	0	-8.33	824	3.5	3	0	0	1	0	0	0	1	0	57.419077	57.413691	34.947781	0.957781	1.55762	3.493497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.660v_ramp.txt	2/3/2010	13:54:21	No comments(this is a filler only).
8	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-33.87	0	0	-8.35	837	3.5	3	0	0	1	0	0	0	1	0	57.009872	57.004524	34.928208	0.978208	1.56182	3.493331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.660v_ramp.txt	2/3/2010	13:54:23	No comments(this is a filler only).
