   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 {wx._stc.StyledTextCtrl_AddText}
       12    0.003    0.000    0.003    0.000 {wx._stc.StyledTextCtrl_AppendText}
       32    0.014    0.000    0.014    0.000 {wx._stc.StyledTextCtrl_DocumentEnd}
        4    0.000    0.000    0.000    0.000 {wx._stc.StyledTextCtrl_EmptyUndoBuffer}
        8    0.002    0.000    0.002    0.000 {wx._stc.StyledTextCtrl_EnsureCaretVisible}
        4    0.000    0.000    0.000    0.000 {wx._stc.StyledTextCtrl_GetCurLine}
       26    0.000    0.000    0.000    0.000 {wx._stc.StyledTextCtrl_GetCurrentPos}
        1    0.000    0.000    0.000    0.000 {wx._stc.StyledTextCtrl_GetSelectionEnd}
        1    0.000    0.000    0.000    0.000 {wx._stc.StyledTextCtrl_GetSelectionStart}
        4    0.000    0.000    0.000    0.000 {wx._stc.StyledTextCtrl_ScrollToColumn}
       16    0.000    0.000    0.000    0.000 {wx._stc.StyledTextCtrl_SetEndAtLastLine}
        2    0.002    0.001    0.002    0.001 {wx._windows_.StatusBar_SetStatusText}
